Ааронов	aaron
абориген	aboriginal
аборт	abortion,miscarriage
абортивный	abortive
абразив	abrasive
абразивный	abrasive
абразия	abrasion
абракадабра	abracadabra
абрикос	apricot
абрикосный	adjective of абрикос
абрикосовый	apricot,made of apricots
абрис	contour,outline
абсент	absinth
абсентеизм	absenteeism
абсолют	the absolute
абсолютизм	absolutism
абсолютист	absolutist
абсолютистский	absolutist
абсолютно	absolutely,perfectly,utterly
абсолютный	absolute,perfect,utter
абсорбировать	absorb
абсорбироваться	be absorbed
абсорбция	absorption
абстрагировать	abstract
абстрагироваться	disengage oneself
абстрактность	abstruseness
абстрактный	abstract,soyut
абстракционизм	abstract art
абстракционист	abstract artist
абстракционистка	abstract artist
абстракционистский	abstractionist
абстракция	abstraction
абсурд	absurdity,nonsense
абсурдность	absurdity,ineptitude
абсурдный	absurd,inept,preposterous
абсцесс	abscess
абсцисса	absciss,abscissa
абулия	abulia
абхаз	abkhazian
абхазец	abkhazian
абхазка	abkhazian
абхазский	abkhazian
абы	provided that,as long as
авангард	advance-guard,advanced guard,van,vanguard
авангардизм	avant-gardism
авангардистский	avant-garde
авангардный	vanguard
аванзал	hall,ante-room
аванпорт	outer harbour
аванпост	outpost
аванс	advance,payment on account
авансировать	advance money
авансом	in advance
авансцена	proscenium
авантажный	fine
авантюра	gamble,venture,flirt,liaison
авантюризм	disposition to engage in ventures
авантюрист	adventurer
авантюристический	adventurist
авантюристка	adventuress
авантюрный	adventurous,venturesome,risky,adventure
аварец	avar
аварийность	accident rate,breakdown rate
аварийный	repair,breakdown,wrecking,emergency
аварийщик	emergency worker,worker in breakdown service
авария	accident,crash,breakdown
аварский	avarian
авгур	augur,soothsayer
август	august
августовский	adjective of август
авиабаза	air-base
авиабилет	aeroplane ticket
авиабомба	aircraft bomb
авиадесант	airborne landing
авиакомпания	airline
авиаконструктор	aircraft designer
авиалиния	airline,air-route,airway
авиамаяк	air beacon
авиамоделизм	model aircraft construction
авиамоделист	model aircraft constructor
авиамодель	model aircraft
авианосец	aircraft carrier
авиаотряд	squadron
авиапассажир	air passenger
авиаперевозки	air traffic
авиапочта	air mail
авиапочтой	air mail
авиаприбор	flight instruments,aircraft instruments
авиаразведка	air reconnaissance
авиарейс	flight
авиасвязь	air communication
авиастроение	aircraft building
авиасъёмка	aerial survey,aerial mapping
авиатор	airman,aviator,pilot
авиаторпеда	aerial torpedo
авиатранспорт	air transport
авиатрасса	air-route
авиационный	aviation,aircraft
авиация	aviation,aircraft
авиачасть	air-force unit
авиетка	baby plane,aviette
авизо	letter of advice,aviso,advice boat
авитаминоз	avitaminosis
авось	perhaps,may be
авоська	string-bag
аврал	work involving all hands,emergency job,rush job
авральный	emergency
аврора	aurora,dawn
австралиец	australian
австралийка	australian
австралийский	australian
австриец	austrian
австрийка	austrian
австрийский	austrian
автаркия	autarchy
авто	motor car
автобаза	motor depot
автобан	autobahn
автобиографический	autobiographic
автобиографичность	autobiographical character
автобиографичный	autobiographic
автобиография	autobiography
автоблокировка	automatic block system
автобус	bus,coach
автобусный	adjective of автобус
автовокзал	bus station
автогараж	garage,motor-garage
автогенный	autogenous
автогонки	motor races
автогонщик	racing motorist,race-driver
автограф	autograph
автогужевой	horse-draft and automobile
автодело	automobile engineering
автодорожный	road-transport,vehicular
автодрезина	motor-trolley,motor-line-inspection-trolley
автожир	autogyro
автозавод	car works,car factory,automobile plant
автозак	police van
автозаправщик	bowser,refueller
автоинспекция	roadworthiness inspection
автокар	trolley
автоклав	autoclave
автоколонна	autocade,motorcade
автокормушка	automatic feeder
автокран	truck crane
автократический	autocratic
автократия	autocracy
автол	automotive engine oil
автолавка	mobile shop
автолюбитель	motor-car enthusiast
автомагистраль	motorway,motor highway
автомат	automatic machine,slot-machine,vending machine,automaton,sub-machine-gun
автоматизация	automation
автоматизированный	automated,automatized
автоматизировать	automatize,introduce automation,automate
автоматизм	automatism
автоматика	automation,automated mechanisms,automatic machinery devices
автоматически	automatically,independently
автоматический	automatic,self-acting,mechanical
автоматный	adjective of автомат
автоматчик	automated machines operator,sub-machine-gunner
автомашина	lorry,truck
автомобилестроение	motoring
автомобилист	motorist
автомобилист-гонщик	racing driver
автомобилистка	motorist
автомобиль	car,motor car,automobile
автомобильный	automobile,car,motor-car
автомотриса	rail car
автономия	autonomy,self-government
автономный	autonomous
автоответчик	answering machine
автоплуг	motor plough
автопогрузчик	fork-lift truck,autoloader
автопоезд	articulated lorry,lorry and trailer,tractor-trailer combination
автопоилка	automatic drinking bowl
автопокрышка	tire-cover,tire
автопортрет	self-portrait
автоприцеп	trailer,caravan
автопробег	motor race,motor rally
автор	author,authoress,writer,composer,begetter
авторалли	motor rally
авторемонтный	car repair service
автореферат	abstract of thesis
авторизованный	authorized
авторизовать	authorize
авторитарный	authoritarian
авторитет	authority
авторитетный	authoritative,competent
авторский	adjective of автор
авторство	authorship
авторучка	fountain-pen
автосани	motor-sleigh
автосервис	car service
автостоп	hitch hiking
автостоянка	parking lot
автострада	motorway,motor highway,trunk-road,superhighway
автосцепка	automatic coupling
автотипия	autotype
автотракторный	motor and tractor
автотранспорт	motor transport
автотранспортный	motor transport
автотрасса	motorway
автотуризм	motor-touring
автотурист	motor-car tourist
автофургон	motor-van,pantechnicon,long-distance truck
автохтон	indigene,native,autochthons,aboriginals
автоцистерна	tank-lorry,tank-truck
ага	cane toad,yep,yeah,aha,uh-huh
агава	agave
агат	agate
агатовый	agate
агглютинативный	agglutinative
агглютинация	agglutination
агглютинирующий	agglutinating
агент	agent
агентство	agency
агентура	agents
агентурный	secret-service
агитировать	campaign,agitate,keep up an agitation,carry on propaganda,persuade
агитка	item of propaganda,propaganda play,propaganda book,campaign flyer
агломерат	agglomerate,agglomeration
агломерация	agglomeration
агнец	lamb
агностик	agnostic
агностицизм	agnosticism
агностический	agnostic
агония	death-agony
аграрий	rich landowner
аграрный	agrarian
агрегат	aggregate,aggregation,unit,assembly,set
агреман	agrement
агрессивный	aggressive,belligerent
агрессия	aggression
агрессор	aggressor
агробиологический	agrobiological
агробиология	agricultural biology,agrobiology
агрокультура	agriculture
агрокультурный	agricultural,agriculture
агрометеорология	agricultural meteorology
агроном	agriculturist,agronomist
агрономический	agricultural,agronomical
агрономия	agronomics,agronomy,agricultural science
агропомощь	agricultural aid
агропромышленный	agroindustrial
агротехник	agricultural technician,agrotechnician
агротехника	agrotechnics
агротехнический	agrotechnical
агрофизический	agrophysical
агрохимический	adjective of агрохимия
агрохимия	agricultural chemistry
ад	hell,hades,the underworld
адажио	adagio
адамсит	adamsite
адаптация	adaptation
адаптер	adapter,pick-tip
адаптировать	adapt
адаптироваться	adapt,adjust
адвербиальный	adverbial
адвокат	advocate,barrister,solicitor,lawyer
адвокатура	profession of barrister,the bar,the legal profession
адекватный	adequate
аденоид	adenoids
аденома	adenoma
адепт	adherent,follower
аджарец	adzhar,adzharian
аджарка	adzhar,adzharian
аджарский	adzharian
административный	administrative,managerial
администратор	administrator,manager,business manager
администрация	administration,management,the management
администрирование	administration
администрировать	run by means of orders and decrees
адмирал	admiral
адмиралтейство	the admiralty
адмиральский	adjective of адмирал
адоптировать	to adopt
адреналин	adrenalin
адрес	address
адресант	sender
адресат	addressee
адресный	address
адресовать	address,direct
адресоваться	address oneself
адски	infernally,frightfully,terribly,awfully
адский	hellish,infernal,frightful,awful,terrible
адсорбировать	adsorb
адсорбция	adsorption
адъюнкт	graduate,advanced student,junior scientific assistant
адъюнктура	graduate
адъютант	aide-de-camp,adjutant,aide
адыгеец	adygei
адыгейка	adygei
адыгейский	adygei
адюльтер	adultery
ажио	agio
ажиотаж	rush,stir,hullabaloo
ажитация	excitement,alarm
ажур	open-work,up to date
ажурный	open-work,delicate
аз	az,abc,elements,rudiments
азалия	azalea
азарт	heat,excitement,ardour,passion
азартно	recklessly,heatedly,excitedly
азартный	reckless,excitable,hot-tempered,venturesome
азбука	alphabet,the abc,abc-book
азербайджанец	azerbaijanian
азербайджанка	azerbaijanian
азербайджанский	azerbaijan
азиат	asian
азиатский	asian,asiatic
азимут	azimuth
азот	nitrogen
азотистый	nitrous
азотнокислый	nitric acid
азотный	nitric
аист	stork
айва	quince,quince-tree
айвовый	quince
айсберг	iceberg
академизм	academic manner
академик	academician
академический	academic
академичность	academic approach
академичный	abstract,abstruse
академия	academy
акант	acanthus
аканье	akanje
акафист	acathistus
акация	acacia
акваланг	aqualung
аквалангист	skin-diver,scuba diver
аквамарин	aquamarine
аквамариновый	aquamarine
акванавт	aquanaut,deep-sea diver,frogman
акварелист	water-colour painter,painter in water-colours
акварелистка	water-colour painter,painter in water-colours
акварель	water-colour,water-colours
аквариум	aquarium
акватинта	aquatint
акватория	area of water
акведук	aqueduct
акклиматизация	acclimatization
акклиматизировать	acclimatize
акклиматизироваться	acclimatize oneself
аккомодация	accommodation,adjustment
аккомпанемент	accompaniment
аккомпаниатор	accompanist
аккомпанировать	accompany
аккорд	chord
аккордеон	accordion
аккордеонист	accordion player,accordionist
аккредитив	letter of credit
аккредитировать	accredit
аккумулировать	accumulate
аккумулятор	accumulator
аккумуляция	accumulation
аккурат	exactly,precisely
аккуратист	pedant,stickler for detail
аккуратистка	pedant,stickler for detail
аккуратно	neatly,carefully,regularly
аккуратность	exactness,punctuality,carefulness,painstakingness,conscientiousness
аккуратный	exact,punctual,careful,thorough,painstaking
акмеизм	acmeism
акр	acre
акробат	acrobat
акробатика	acrobatics
акробатический	acrobatic
акростих	acrostic
акселератор	accelerator
акселерация	acceleration
аксельбант	aiguillettes,aglets,aiglets
аксессуар	accesory,property
аксиома	axiom
аксиоматика	axioms,axiomatic basis
акт	act,deed,document,statement,speech-day
актив	the most active members,assets
активизация	activization,stirring up
активизировать	make more active,stir up,stir to activity
активизироваться	liven up
активированный	activated
активировать	activate
активист	active worker
активистка	female activist
активно	actively
активность	activity
активный	active
актиний	actinium
актиния	actinia,sea anemone
актировать	certify presence
актриса	actress
актуальность	actuality,urgency,topicality
актуальный	relevant,pertinent,topical
актёр	actor,player
актёрский	adjective of актёр
акула	shark,dog-fish
акупунктура	acupuncture
акустик	acoustician,soundman,sound technician
акустика	acoustics
акустический	acoustic
акушерка	midwife
акушерский	obstetric
акушерство	obstetrics,midwifery
акушёр	accoucheur,obstetrician
акцент	accent
акцентировать	to accent,accentuate,to emphasize
акцентный	accent,accentual
акцентология	accentology
акцентуация	accentuation
акцепт	acceptance
акцептовать	accept
акциз	excise,excise-duty
акцизный	adjective of акциз
акционер	shareholder,stockholder
акционерный	joint-stock
акция	share,stock,action,sale
акын	akyn
албанец	albanian
албанка	albanian
албанский	albanian
алгебра	algebra
алгебраический	algebraic
алгоритм	algorithm
алгоритмический	algorithmic
алебарда	halberd
алебастр	alabaster
алебастровый	adjective of алебастр
александрийский	alexandrine,alexandrian
александрит	alexandrite
алеть	redden,flush,glow,show red
алеут	aleutian
алеутка	aleutian
алеутский	aleutian
алжир	algeria,algiers
алжирец	algerian
алжирка	algerian
алжирский	algerian
алиби	alibi
ализарин	alizarin
алименты	alimony,maintenance
алкалоид	alkaloid
алкать	crave,hunger
алкоголизм	dipsomania,alcoholism
алкоголик	dipsomaniac,alcoholic,drunkard
алкоголь	alcohol,spirit
алкогольный	alcoholic
аллах	allah
аллегорический	allegoric
аллегоричный	allegorical
аллегория	allegory
аллегро	allegro
аллерген	allergen
аллергический	allergic
аллергия	allergy
аллерголог	allergist,allergologist
аллергология	allergology
аллея	avenue,path,lane
аллигатор	alligator
аллилуйщик	toady
аллитерация	alliteration
алло	hello on the phone
аллопат	allopath,allopathist
аллопатический	allopathic
аллопатия	allopathy
аллопластика	alloplasty
аллопластический	alloplastic
аллювиальный	alluvial
аллювий	alluvion,alluvium
аллюр	pace,gait
алмаз	diamond
алмазный	adjective of алмаз
алоэ	aloe,aloes
алтайский	altai,altaic,altaian
алтарь	altar
алтын	three-copeck piece
алфавит	alphabet
алфавитный	alphabetical
алхимик	alchemist
алхимия	alchemy
алчность	greed,cupidity
алчный	grasping,avid,greedy
алчущий	hungry,craving
алый	vermilion,crimson,scarlet
алыча	cherry-plum
альбатрос	albatross
альбинизм	albinism
альбинос	albino
альбом	album
альбумин	albumen
альбуминный	albuminous
альвеола	alveolus
альвеолярный	alveolar
альдегид	aldehyde
альков	alcove
альманах	anthology,literary miscellany,almanac
альпака	alpaca,german silver
альпари	at par
альпийский	alpine
альпиниада	alpiniad,mass ascent
альпинизм	alpinism,mountaineering
альпинист	alpinist,mountain-climber,mountaineer
альпинистка	alpinist,mountain-climber,mountaineer
альпинистский	alpinist
альт	viola,alto
альтерация	changes in the pitch of notes
альтернатива	alternative
альтернативный	alternative
альтернация	alternation
альтиметр	altimeter
альтист	viola player
альтистка	viola player
альтруизм	altruism,unselfishness
альтруист	altruist
альтруистический	altruistic,unselfish
альфа	alpha
альфа-лучи	alpha rays
альфа-частица	alpha particles
альянс	alliance,union
алюминиевый	adjective of алюминий
алюминий	aluminium,aluminum
аляповатый	clumsy,tasteless,crudely constructed
аляска	alaska
амазонка	amazon,horsewoman,riding-habit
амальгама	amalgam,amalgamation
амальгамировать	amalgamate
амба	kaput
амбар	barn,granary,warehouse,storehouse
амбарный	adjective of амбар
амбициозный	ambitious
амбиция	ambition
амбра	ambergris,fragrance,perfume
амбразура	embrasure,gun-port
амброзия	ambrosia
амбулатория	dispensary
амбулаторный	adjective of амбулатория
амвон	ambo
америка	america,usa,us,united states,united states of america
американец	american,yankee,yank
американизированный	americanized
американизировать	americanize
американизм	americanism
американка	american woman
американский	american
аметист	amethyst
аметистовый	amethyst
аминокислота	amino acid
аммиак	ammonia,ammonium hydrate
аммиачный	ammoniac
аммонал	ammonal
аммоний	ammonium
амнистировать	amnesty
амнистия	amnesty,free pardon
аморальность	amorality,immorality
аморальный	amoral,immoral
амортизатор	shock-absorber
амортизационный	amortization,shock-absorber
амортизация	amortization,wear and tear,depreciation,shock-absorption
амортизировать	amortize
аморфный	amorphous
ампер	ampere
ампер-час	ampere hour
амперметр	amperemeter,ammeter
ампир	empire style
ампирный	empire-style
амплитуда	amplitude
амплификация	amplification
амплуа	line of business,line,role
ампула	ampoule
ампутация	amputation
ампутировать	amputate
амулет	amulet,charm
амуниция	accoutrements
амурный	love
амфибия	amphibian
амфибрахий	amphibrach
амфитеатр	amphitheatre,circle,parterre
амфора	amphora
амёба	amoeba
ан	on the contrary
анабиоз	anabiosis
анаболизм	anabolism
анаграмма	anagram
анаконда	anaconda
анакреонтический	anacreontic
анализ	analysis
анализатор	analyser
анализировать	analyse
аналитик	analyst
аналитика	analytic geometry
аналитический	analytic
аналог	analogue
аналогический	analogic
аналогичный	analogous
аналогия	analogy
аналой	lectern
анальный	anal
анамнез	anamnesis
ананас	pineapple
ананасный	pineapple
ананасовый	pineapple
анапест	anapaest
анархизм	anarchism
анархист	anarchist
анархистка	anarchist
анархистский	adjective of анархист
анархический	anarchic
анархичный	anarchic,disorderly,chaotic
анархия	anarchy
анатом	anatomist
анатомирование	anatomy,dissection
анатомировать	anatomize,dissect
анатомический	anatomic
анатомия	anatomy
анафема	anathema
анафемский	accursed
анафора	anaphora
анахорет	anchorite,anchoret
анахронизм	anachronism
анахронический	anachronistic
анахроничный	anachronistic
ангажемент	engagement
ангажировать	engage
ангар	hangar
ангел	angel
ангелочек	cherub
ангельский	angelic
ангидрид	anhydride
ангина	sore throat,quinsy
английский	english language,english,british
англиканский	anglican
англист	anglicist,specialist in english philology,english philologist
англистика	english philology
англицизм	anglicism
англичанин	englishman,the english,the british
англичанка	englishwoman
англо-американский	anglo-american
англоман	an extreme anglophile
англомания	anglomania
англосакс	anglo-saxon
англосаксонский	anglo-saxon
англофил	anglophile
англофоб	anglophobe
ангорский	angora
анданте	andante
аневризма	aneurism,aneurysm
анекдот	anecdote,funny story,joke
анекдотический	anecdotal
анекдотичный	improbable,humorous
анемический	anaemic
анемичный	anaemic
анемия	anaemia
анемограф	anemograph
анемометр	anemometer,wind-gauge
анемон	anemone
анероид	aneroid
анестезиолог	anaesthetist,anaesthesiologist
анестезиологический	anaesthetic
анестезиология	anaesthesiology
анестезировать	anaesthetize
анестезирующий	anaesthetic
анестезия	anaesthesia
анилин	aniline
анилиновый	adjective of анилин
анималист	animal painter,animal sculptor
анимация	animation
анимизм	animism
анимистический	animistic
анис	anise,anise apples
анисовка	anisette
анисовый	anise,aniseed
анкер	anchor,crutch
анкета	form,questionnaire,survey
анналы	annals,records
аннексировать	annex
аннексия	annexation
аннигиляция	annihilation
аннотация	annotation
аннотировать	annotate
аннулирование	annulment,cancellation,abrogation,abolition,nullification
аннулировать	annul,cancel,abrogate,rescind,repeal
анод	anode
анодировать	anodize
анодный	anodic,anode
аномалия	anomaly
аномальный	anomalous,abnormal
аноним	anonymous author,anonymous work
анонимка	libellous anonymous letter
анонимный	anonymous
анонимщик	writer of libellous anonymous letters
анонс	announcement,notice,bill,poster
анонсировать	announce
анорак	anorak
анормальный	abnormal
анофелес	anopheles
ансамбль	ensemble
антагонизм	antagonism
антагонист	antagonist
антагонистический	antagonistic
антарктида	antarctic
антарктика	the antarctic,the antarctic regions
антарктический	antarctic
антенна	aerial,antenna
антиамериканский	anti-american
антибиотик	antibiotic
антибиотики	antibiotics
антивещество	antimatter
антивирус	antivirus
антивоенный	anti-war
антиген	antigen
антигенный	adjective of антиген
антигигиенический	unhygienic,insanitary
антигосударственный	antistate
антидемократический	anti-democratic
антидепрессант	antidepressant
антиимпериалистический	anti-imperialist
антиисторизм	unhistoricalness
антиисторический	unhistorical
антиквар	antiquarian,antiquary
антикварный	antique,trading in antiques
антиколониализм	anti-colonialism
антиколониальный	anti-colonial
антилопа	antelope
антиматерия	antimatter,contraterrene matter
антимир	antiworld
антимонополистический	antimonopoly
антинародный	anti-popular
антинаучный	anti-scientific
антинейтрино	antineutrino
антинейтрон	antineutron
антиномия	antinomy
антиобщественный	anti-social
антипассат	anti-trade wind
антипатичный	antipathetic
антипатия	antipathy
антипирин	antipyrine
антипод	antipode,the antipodes
антипротон	antiproton
антиракета	anti-rocket missile
антирелигиозный	anti-religious
антисанитарный	insanitary
антисемит	anti-semite
антисемитизм	anti-semitism
антисемитский	anti-semitic
антисептик	antiseptic
антисептика	antisepsis
антисептический	antiseptic
антисоциальный	anti-social
антитеза	antithesis
антитезис	antithesis
антитело	antibody
антитеррористический	antiterrorist
антитетический	antithetic
антитоксин	antitoxin
антитоксический	antitoxic
антифашист	anti-fascist
антифашистский	anti-fascist
антифриз	antifreeze,antifreezing compound
антихрист	antichrist
антициклон	anticyclone
античастица	anti-particle
античность	antiquity
античный	ancient,classical
антиэлектрон	antielectron
антологический	anthological
антология	anthology
антоним	antonym
антонимичный	antonymous
антоновка	antonovka apples
антракт	interval,interlude
антрацен	antracene
антрацит	anthracite
антрацитный	anthracitic,anthracitous
антрацитовый	anthracitic,anthracitous
антраша	entrechat
антрекот	entrecote,steak
антрепренёр	impresario,entrepreneur
антреприза	private theatrical enterprise,theatrical concern
антресоли	mezzanine,attic storey
антропоид	anthropoid
антрополог	anthropologist
антропологический	anthropological
антропология	anthropology
антропометрический	anthropometric
антропометрия	anthropometry
антропоморфизм	anthtopomorphism
антропоморфический	anthropomorphic
антропоморфный	anthropomorphous
антропофаг	anthropophagus,cannibal
антропофагия	anthropophagy,cannibalism
антураж	environment,entourage,milieu,surroundings,associates
анфас	full face
анфилада	suite
анчар	upas-tree,antiar
анчоус	anchovy
аншлаг	full house,banner-headline
аорист	aorist
аорта	aorta
апартамент	apartment
апартаменты	a luxury suite,a large and sumptuous set of rooms
апартеид	apartheid
апартхейд	apartheid
апатит	apatite
апатитовый	adjective of апатит
апатичность	apathy
апатичный	apathetic
апатия	apathy
апеллировать	appeal
апеллянт	appellant
апелляционный	adjective of апелляция
апелляция	appeal
апельсин	orange,orange-tree
апельсинный	adjective of апельсин
апельсиновый	adjective of апельсин
аплодировать	applaud,cheer
аплодисменты	applause,clapping,cheers
апломб	aplomb,assurance,self-confidence
апогей	apogee,climax,culmination,acme
апокалипсис	apocalypse,the revelation
апокалипсический	apocalyptic
апокалиптический	apocalyptic
апокриф	apocrypha,apocryphal
аполитичность	political indifference
аполитичный	apolitical,politically indifferent
апологет	apologist
апология	apology
апоплексический	apoplectic
апоплексия	apoplexy
апорт	oporto apples
апоселений	apolune
апостериори	a posteriori
апостериорный	a posteriori
апостол	apostle,books of the apostles,the acts of the apostles
апостольский	apostolic
апостроф	apostrophe
апофеоз	apotheosis
апоцентр	apocentre
аппарат	machine,machinery,apparatus,bodies,staff
аппаратная	apparatus room
аппаратура	apparatus,equipment
аппаратчик	operative,man in charge of apparatus
аппендикс	appendix,neck
аппендицит	appendicitis
апперцептивный	apperceptive
апперцепционный	apperceptive
апперцепция	apperception
аппетит	appetite,relish
аппетитный	appetizing
аппликатура	fingering
аппликация	applique work,applique
аппретировать	dress
аппретура	dressing
аппретурщик	dresser
апрель	april
апрельский	adjective of апрель
априори	a priori
априорный	a priori
апробация	approbation,approval
апробировать	approve
апсида	apse
аптека	pharmacy,drug-store
аптекарский	pharmaceutical
аптекарь	chemist,druggist
аптечка	medicine chest
аптечный	adjective of аптека
ар	are
араб	arab,arabian
арабеска	arabesque
арабист	arabist,specialist in arabic philology,arabic philologist
арабистика	arabic philology
арабский	arab,arabian,arabic
аравийский	arabian,of arabia
аракчеевщина	arakcheyev regime
аранжировать	arrange
аранжировка	arrangement
арап	blackamoor,cheat,swindler
арапник	hunting-whip,hunting-crop
араукария	araucaria
арахис	peanut
арахисовый	peanut
арба	bullock cart
арбалет	arbalest
арбитр	arbiter,arbitrator,umpire
арбитраж	arbitration
арбитражный	adjective of арбитраж
арбуз	water-melon
аргамак	argamak
аргентинец	argentinean
аргентинка	argentinean
аргентинский	argentine
арго	slang
аргон	argon
аргонавт	argonaut
арготический	slang
аргумент	argument
аргументация	argumentation,reasoning
аргументировать	argue
аргус	argus
ареал	natural habitat,area
арена	arena
аренда	rent,lease
арендатор	leaseholder,lessee,tenant
арендный	adjective of аренда
арендованный	leased,rented
арендовать	lease,have on lease,hold on lease,rent
арендодатель	landlord
ареометр	areometer
ареопаг	areopagus
арест	arrest,sequestration,seizure,attachment
арестант	prisoner
арестантский	adjective of арестант
арестованный	prisoner
арестовать	arrest
арестовывать	arrest
ариец	aryan
арийка	aryan
арийский	aryan
ариозо	arioso
аристократ	aristocrat
аристократизм	aristocratism
аристократический	aristocratic,grand
аристократичный	aristocratic,grand
аристократия	aristocracy,nobility
аритмичный	unrhythmical,arrhythmic
аритмия	arrhythmia
арифметик	arithmetican
арифметика	arithmetic,counting
арифметический	arithmetical
арифмограф	arithmograph
арифмометр	arithmometer
ария	aria,air
арка	arch
аркада	arcade
аркан	lasso
арканить	lasso
арктика	the arctic,the arctic regions
арктический	arctic
арлекин	harlequin
арлекинада	harlequinade
армада	armada
арматура	accessories,fitting,fixtures,reinforcement
арматурщик	smith for reinforced concrete,fitter
армеец	serviceman,soldier
армейский	adjective of армия
армированный	reinforced
армировать	reinforce
армия	army,forces,host
армяк	armiak
армянин	armenian
армянка	armenian
армянский	armenian
арнаутка	arnautka
аромат	aroma,fragrance
ароматический	aromatic,fragrant
ароматичный	aromatic,fragrant
ароматный	aromatic,fragrant,flavoured,balmy
арочный	arched,vaulted
арпеджио	arpeggio
арсенал	arsenal,armoury,a store,stores
артачиться	jib,be restive
артель	artel
артельный	adjective of артель
артельщик	member of artel
артериальный	arterial
артериосклероз	arteriosclerosis
артерия	artery
артикль	article
артикул	article
артикулировать	articulate
артикуляция	articulation
артиллерийский	adjective of артиллерия
артиллерист	artilleryman,gunner
артиллерия	artillery
артист	artist,actor
артистизм	artistry
артистическая	green-room,dressing-room
артистический	artistic
артистичность	artistry
артистичный	artistic
артистка	artiste,actress
артишок	artichoke
артналёт	artillery attack
артобстрел	artillery bombardment
артогонь	artillery fire
артрит	arthritis
артсклад	ordnance depot
арфа	harp
арфист	harpist,harp-player
арфистка	harpist,harp-player
архаизировать	archaize
архаизм	archaism
архаика	archaic character,antiquity
архаический	archaic
архаичный	archaic
архангел	archangel
архар	wild ram
архаровец	ruffian
археограф	specialist in study of early texts
археография	study of early texts
археолог	archaeologist
