the	тем
something	что-то,что-нибудь,кое-что,нечто,чего-то,что-либо
use	использование,использования,использовании,использованием,использованию,использований
am	рад,рада,радо,Am
around	вокруг,около,кругом,всюду,вблизи,окрест
between	всего,вместе,между,посреди,меж,промеж
both	оба,двух
come	входить,кончать,исходить,докатываться,изойти,исчисляться
every	каждый,любой,всякий
part	выпуск,выпуска,выпуске,выпусках,выпускам,выпусками
three	три,трое,втроём,тройка,троек,тройкам
always	века,век,веке,веками,веках,Always,векам
another	другой,различный
better	лучше,лучший,поправить,краше,улучшать,поправлять
does	Дус
find	выяснить,выглядеть,выделить,выискивать,Find,вычитывать,заставать
help	домработница,домработнице,Help!,домработниц,домработницам,домработницами,домработницах
high	возвышенно,балдёж,возвышен,возвышенна,возвышеннее,возвышенный
little	Литтл,карапуз,карапуза,карапузам,карапузами,карапузах,карапузе
old	бывший,давний,истёрт,истёрта,истёрто,истёртый
own	свой,иметь,признавать,владеть,обладать,собственна
since	блага,благ,благе,благами,благам,благах
things	вещи,вещь,вещей,вещах,вещами,вещам
again	снова,опять,говорите,вновь,опять-таки,перекладывать
during	в,при
game	игра,игр,играх,играми,дичь,играм
give	дать,давать,дарить,доставлять,глядеть,додавать
house	Жилище,династии,династию,династий,вмещать,водворить,водворять
next	затем,возле,ближайший,будущий,вблизи,грядущий,Next
place	дом,должность,класть,жилище,возложить,возлагать
school	Школа,академия,выучек,выучка,выучкам,выучками,выучках
thing	вещи,вещь,вещей,вещах,вещами,вещам
under	под,меньше,ниже,исподне,исподний,исподня
against	на,о,перед,напротив,взамен,вопреки
big	большой,великий,велик,велика,велико,здоровенна
each	каждый
end	дождаться,завершение,завершением,завершать,доканчивать,докончить
feel	думать,испытать,испытывать,нащупывать,осязать,ощупать
found	основать,лить,выливать,отливать,основывать,базировать
mr	г-н
must	нужно,должен,должны,должна,должно,должный,Муст
show	балаган,балагана,балаганам,балаганами,балаганах,балагане
sure	верен,верна,беспроигрышный,беспроигрышен,беспроигрышна,беспроигрышно
team	бригада,бригад,артель,бригадам,бригадами,бригадах
without	без
ever	никогда,всегда,когда-нибудь,когда-либо
family	Семья,роде,род,родов,родах,родами,родам
keep	держать,держаться,задержать,задерживать,накормить,блюсти,Донжон
might	возможность,могущества,могуществ,могуществам,могуществами,могуществах
money	Деньги,бабки,бабка,бабками,бабке,бабках,бабкам
please	пожалуйста,льстить,польстить,наскучить,наслаждать,потрафлять
put	деть,вставлять,девать,всадить,впрягать,всаживать
away	вон,далеко,подальше,прочь,долой,недоступно
city	город,городской,сити,град,общегородской
days	подолгу
free	бесплатно,бесплатный,беспрепятственно,бесплатна,Free,бесплатен,беспрепятственна
left	налево,лев,влево,левый,лево,либеральный
lot	группа,долю,доля,доли,долей,Лот,доле
name	Имя,имена,выбрать,выбирать,именами,именам,именах
night	Ночь,ночи,ночам,ночной,ночей,ночами,ночах
number	Число,балл,балла,баллами,баллам,баллах,балле
play	игра,игр,играм,зазор,Play,вторить,доиграться
second	Секунда,ведома,ведомо,ведомый,ведом,вторичен,вторична
someone	кто-то,кто-нибудь,кто-либо,некто
until	до,доколе
called	именуемый
company	компании,компания,компанию,гости,компаний,компаниям,Коммерческая организация
different	другой,иной,различный,разен,разна,разно
doing	дело,поступок,действие,деяние
done	готовый,сварен,сварена,сваренный,сварено
few	горстка,горстки,горстке,горсткам,горстками,горстках
getting	добывание,добыванием,добывании,добываний,добыванию,добывания
god	бог,бога,богам,боге,богами,богах
government	Правительство,правительства,правительстве,правительств,правительствами,правительствам,правительствах
group	группа,групп,группами,группам,группах,авиаполк
having	имеющий
however	всё,однако,всё-таки,впрочем
let	Лет,позволить,допустить,предоставить,позволять,посвятить,посвящать
looking	ухода,уход,В поиске,уходе,уходам,уходами,уходах
public	государственный,гласен,гласна,гласно,гласный,громогласен
real	действителен,Реал,взаправдашен,взаправдашне,взаправдашний,взаправдашня,выхаживать
set	Сет,агрегат,агрегата,агрегатам,агрегатами,агрегатах,агрегате
women	женщина,женщин,женщине,женщинами,женщинам,женщинах
already	уже,раньше,ранее
anything	всё,что-нибудь,что-либо
business	бизнес,дел,бизнеса,бизнесе,бизнесом,бизнесу,Предпринимательство
care	бережностей,бережности,бережность,бережностью,бережностям,бережностями
change	заменить,изменение,замена,заменять,изменении,изменением,Change
enough	достаточно,довольно,достаточный,достаточна,достаточен,достаточнее
everything	всё,весь
full	валять,исполнено,исполнен,исполнена,исполненный,многоводен
live	выживать,дожить,водиться,дотянуть,доживать,Live,дотягивать
making	выработки,выработке,выработка,выработкам,выработками,выработках
nothing	ничего,нечего,Ничто,ерунда,ерунду,ерунды,ерунде
person	лица,Личность,лице,лиц,лицами,лицах,лицам
point	балл,балла,баллами,баллам,баллах,балле
read	изучать,ознакомиться,дочитать,вычитывать,гласить,дочитывать
start	Старт,взяться,включать,браться,вздрагивание,вздрагивать,вздрогнуть
system	Система,комбинация,комбинацию,комбинации,комбинаций,комбинациям,комбинациями
times	времени,времена,временем,временами,временах,временам
today	теперь,сегодня,сегодняшний,сегодняшне,сегодняшня
told	сказал,сказавший
week	неделю,недели,неделе,недель,неделя,неделям
yet	а,но,ещё,однако,всё-таки,вскоре
bad	гадкий,гадко,дурна,Bad,гадка,гадок,гаже
believe	поверить,думать,верить,считать,полагать,Believe,веровать
call	визит,визита,визите,Колл,визитах,визитами,визитам
four	четверо,вчетвером,четвёрка,четвёркам,четвёрками,четвёрках
head	Голова,башке,башка,башки,башкам,башками,башках
including	включая
mean	думать,вредно,Среднее значение,вредный,вреден,жаден,вредна
men	люди
music	музыка,музыке,музык,музыкам,музыками,музыках
national	государственный,народный,всенароден,всенародна,всенародно,всенародный
once	раз,однажды,когда-то,некогда,Испанская национальная организация слепых,Once,разам,разами
small	маленький,мало,мал,мала,Смолл,малогабаритный,малометражен
stop	баста,диафрагма,диафрагм,диафрагмам,диафрагмами,диафрагмах
support	бандаж,бандажа,бандажам,бандажами,бандажах,бандаже
water	вода,воде,водах,вод,водам,водами
white	Белый цвет,бела,белка,бел,белками,беленький,белкам
actually	действительно,вообще-то,неужели,фактически,собственно,Actually
american	американский,американец,американка,американца,американцам,американцами
country	Страна,деревне,деревню,деревни,государство,деревенский,деревень
far	далеко,гораздо,дальний,далека,вдаль,далёк
job	дело,должность,должности,должностью,должностей,барышничать
later	после,позже,далее,попозже,позднее,впоследствии
line	амплуа,вереница,верениц,вереницам,вереницами,вереницах
open	вскрыть,вскрывать,вспороть,взрезать,вспарывать,гласен
order	выписать,выписывать,выстроить,выстраивать,жироприказ,жироприказа
party	вечеринка,вечеринке,вечеринки,вечеринках,вечеринкам,вечеринками
run	бегать,баллотироваться,бега,бег,бегам,бегами
says	говориться,Зайс
season	Времена года,выдержать,заправить,заправлять,выдерживать,приправа,приправлять
shit	блядь,гад,вздор,высрать,бздеть,высирать
side	борт,бок,борта,Сиде,бортам,бортами,бортах
thank	поблагодарить,благодарить
though	что,хотя,хоть,однако,всё-таки
try	испытать,испытывать,отведать,мытарить,отведывать,перепробовать
went	попасть
area	Площадь,ареал,ареала,ареалам,ареалами,ареалах,ареале
black	Чёрный цвет,вороной,беспросветен,беспросветна,беспросветно,беспросветный,ваксить
car	Автомобиль,авто,автомобилей,автомобиле,автомобилем,автомашина,автомобилен
children	ребята,ребят,ребятами,ребятам,ребятишки,ребятах
everyone	все,каждый,весь,всякий
face	Лицо,грань,глядеть,гримаса,забое,забоев,забоем
five	пяти,пятеро,впятером,пятка,пя,пяткам
general	генерал,всеобщий,военачальник,всеобщ,всеобща,всеобще
kind	добрый,добро,вид,добра,добр,добрее
law	Право,закон,закона,законам,законе,законами,законах
maybe	возможно,наверное,чай,чаем,чае,чаи
per	в,на,по,через,согласно
president	Президент,председатель,председателем,председателе,председателей,председатели,председательница
story	история,истории,историю,историй,историями,историям
together	вместе,разом,воедино,дружно,вкупе,слитно
trying	томителен,томительна,томительно,томительный
united	общий,единый,един,едино,едина,объединена
using	через
war	война,борьба,боевой,воевать,войн,войнам
whole	круглый,кругл,кругла,круглее,кругло,неразменен
working	обработка,оборотен,оборотна,оборотно,оборотный,обработкам
able	знающий,компетентный,полноправный,знающ,знающа,знающе
ago	назад
book	Книга,заказать,альбом,заказывать,забронировать,зарезервировать,бронировать
course	Курс,блюда,блюд,блюде,блюдами,блюдах,блюдам
early	раньше,рано,ранний,заблаговременно,скороспел,скороспела
health	здоровье,здоровья,здоровьем,здоровью,здоровий,здоровьям
hope	надежда,надежде,надежд,надеждами,надеждах,надеждам
important	важно,большой,важнее,важный,важна,важен
information	Информация,данные,данных,данным,данными,донос,доноса
least	наименее,наименьший,маломальский
local	здешний,локально,здешне,здешня,локален,локальна
means	возможность,возможности,возможностей,возможностью,возможностями,возможностям
news	Новости,вести,весть,вестей,вестью,вестями,NeWS,вестям
oh	а,о,ох,ах,ой,эх
others	другой,другие,остальные
post	должность,должности,должностью,должностей,Post,должностям,должностями
social	общественный,общительный,общественно,общественен,общественна,социален
talk	беседа,беседе,бесед,беседах,беседам,беседами
thanks	спасибо,благодарю,принести,благодарность,благодарности,благодарностью
video	видео,видеомагнитофонный
within	в,внутри
young	маленький,мало,Янг,мал,мала,всходы,младой
almost	почти,практически,почитай
along	по,вместе,по-над,дальше,вперёд,вдоль
anyone	кто-нибудь,любой,кто-либо
become	идти,превратиться,превращаться,делаться,подобать,приличествовать
body	группа,аппарат,короба,короб,коробам,коробами
coming	наступление,грядущий,грядущ,грядуща,грядуще,наступающий
court	Суд,дворе,двор,двора,дворах,дворам,дворами
death	Смерть,гибели,гибель,гибелью,гибелей,гибелям,гибелями
else	ещё,иначе,Эльзе
fact	были,Факт,быль,былью,былей,былям,былями
food	блюда,Пища,блюд,блюде,блюдами,блюдах,блюдам
fuck	блядь,бляди,блядей,Fuck,блядью,блядям,блядях
girl	Девочка,барышня,барышни,барышней,барышню,барышень,барышне
given	данный,дан,дано
guy	люди,мало,малый,гай,мал,мала
half	пол-,половина,наполовину,вдвое,вполовину,половин
history	история,истории,историю,историй,историями,историям
known	известно,известный,известен,известна
large	большой,велик,велика,велико,крупен,крупна
level	Уровень,горизонт,горизонта,выровнять,вровень,ватерпас,выравнивать
lost	забыто,забытый,забыт,забыта,заблудившийся,заблудший,Lost
mind	голова,взгляд,Ум,возражать,голов,возразить,головам
office	Офис,кабинет,бюро,кабинета,ведомство,кабинетам,кабинетами
often	часто,частенько,зачастую
pay	заплатить,зарплата,выплатить,выплачивать,зарплат,зарплатам
pretty	достаточно,довольно,мило,вполне,миленький,миловиден
problem	Проблема,задание,задача,задач,задачами,задачам,задачах
remember	вспомнить,помнить,запомнить,напоминать,запоминать,помниться
research	Исследование,изыскания,изысканий,изыскание,изысканием,изыскании,изысканию
room	Комната,горниц,горница,горницам,горницами,горницах,горнице
several	несколько,ряд,некоторый,различный,рядам,несколькие
single	единственный,единый,единичный,единичен,единична,единично
south	Юг,зюйд,зюйда,зюйдам,зюйдами,зюйдах,зюйде
taking	взятие,взятия,взятии,взятием,взятий,взятию
true	верно,верный,верен,верна,действителен,Тру,действительна
university	университет,университете,университета,университетах,университетам,университетами
win	выиграть,завоевать,выигрыш,выигрывать,завоёвывать,отвоёвывать
wrong	неверный,кривой,криво,неладен,крив,крива
air	ария,арии,арию,арий,ариям,ариями
bit	бит,бородка,бородкам,бородками,бородках,бородке
cause	дело,мотив,заставлять,вызывать,доставлять,мотива
class	группа,занятия,категории,категория,категорию,категорий
close	близко,ближе,близок,близкий,близка,вплотную,Клоуз
comes	Комит
due	взнос,взноса,взносам,взносами,взносах,взносе
friend	друг,друга,друган,другана,друганам,друганами
happy	благополучно,весел,весела,благополучный,благополучен,благополучна
hit	бить,биться,Хит,боевик,боевика,боевиками,боевикам
human	люди,человек,человеческий,Человек разумный,людской,человечий
idea	Идея,идее,замысел,бредово,бредовый,бредов,бредова
international	интернациональный,интернационал,интернационален,интернациональна,интернационально,международен
looks	внешность,наружность
months	подолгу
move	внести,вселяться,Move,вдвигать,вдвинуть,ворочать,ворочаться
needs	запросы,запросов,запросами,запросам,запросах,нуждаемостей
nice	мило,милый,вкусный,миленький,приятен,ницца
past	мимо,Прошлое,былое,былой,истекший,минувший,протекший
playing	игра,игр,игрален,игральна,игрально,игральный
possible	возможно,возможный,возможна,возможен,вероятный,выполнимый
probably	верно,наверное,вероятно,наверно,видно,неверен
question	вопрос,вопроса,вопросам,вопросами,вопросе,вопросах
saying	изречение,изречением,изречении,изречений,изречению,изречения
series	ряд,последовательность,рядах,рядов,рядами,рядам
understand	понять,понимать,разбираться,постичь,постигнуть,постигать
wait	ждать,обслуживать,дожидаться,выждать,выжидать,обождать,Wait
wanted	угодно,Особо опасен,нужный,желанный,разыскиваемый,желаемый,требуемый
woman	Женщина,баба,баб,бабах,бабе,бабами,бабам
yeah	ага,аг,агам,агами,агах,аге
york	йорк
age	века,век,веке,веками,веках,векам
ask	задать,задавать,выпрашивать,выпросить,Аск,затребовать,переспросить
buy	поверить,купить,верить,заводить,накупить,откупать
community	братства,Сообщество,братия,братии,братств,братию,братствам
data	информация,данные,данных,данным,данными
deal	Сделка,ели,ель,елей,DEAL,елью,елям,елями
either	каждый,также,любой
fucking	хуй,сраный,ёбаный,ебля,ебание,хуёвый
future	будущее,будущий,будущностей,будущности,будущность,будущностью
late	бывший,поздний,запоздалый,давешне,давешний,давешня
leave	бросить,бросать,валить,выезжать,выбыть,выбывать
light	Свет,воздушный,зажечь,бледный,воздушен,воздушна,воздушно
low	дешевле,дёшево,дешёвый,мычать,Low,дешева,дёшев
million	миллион,миллиона,миллионами,миллионах,миллионам,миллионе
morning	ночь,утро,утра,утренний,утре,утр
north	Север,норд,норда,нордам,нордами,нордах,норде
police	Полиция,полиции,полицию,полицейский,милиция,милиционер,полиций
rather	лучше,довольно,отчасти,порядком,порядочно,предпочтительно
reason	Разум,довод,доводам,доводами,довода,доводах,доводе
red	Красный цвет,красного,красном,алый,красна,краснее,красен
report	выстрел,выстрела,Доклад,выстрелами,выстреле,выстрелах,выстрелам
saw	Пила,выпилить,лесопилен,лесопильна,лесопильно,лесопильный,опиливать
short	короткий,коротка,замкнуть,закоротить,закорачивать,замыкать
soon	сейчас,скоро,вскоре
special	особа,особ,видовой,внеочередной,особенен,особенна
taken	снят,очарован,снята,очарована,очарованный,очаровано
turn	вертеться,вертеть,вираж,виража,виражам,виражами
watch	Наручные часы,вахта,бдеть,вахт,вахтам,вахтами,вахтах
whether	или,ли
act	акт,акта,акте,актах,актами,актам
although	хотя,однако
among	между,среди,средь,промеж
art	Искусство,искусства,искусств,искусстве,искусствам,искусствах,искусствами
behind	за,назад,зад,задница,вспять,назади
building	дом,Здание,застройка,застроек,застройкам,застройками,застройках
check	галочка,квалифицировать,квитка,квиткам,квитками,квитках
child	Ребёнок,вольниц,вольница,вольницам,вольницами,вольницах,вольнице
development	достижение,перерастание,перерастанием,перерастании,перерастаний,перерастанию
easy	легко,легче,лёгкий,легка,лёгок,немудрён
fire	Огонь,возгорания,возгорание,возгоранием,возгорании,возгораний,возгоранию
fun	веселье,весёлый,забава,забав,забавам,забавами
further	дальше,далее,двигать,дальний,дальнейший,далёкий
heart	Сердце,глубине,глубина,глубин,глубинах,глубинам,глубинами
living	жизнь,живой,жизненный,проживание,живущий,проживанием
major	Майор,крупный,крупно,крупнее,важнейший,крупен,крупна
media	сми,медиа,масс-медиа,мидия
minutes	протокол,Протокол собрания,протокола,протоколе,протоколам,протоколах,протоколами
myself	себя,собой
near	ближе,близка,ближний,близ,ближне,ближня
phone	телефон,телефона,звонить,телефонами,телефонах,телефонам
plan	замысел,замысла,задумать,задумывать,замыслам,замыслами
political	политический
quite	довольно,вполне,вовсе,весьма,довольно-таки,изрядно
services	заслугам,заслуга,заслуг,заслугах,заслугами,заслуге
six	шесть,шестеро,шестёрка,вшестером,шестёркам,шестёрками
west	Запад,вест,веста,вестам,вестами,вестах,весте
works	объект,объекта,объекте,объектами,объектам,объектах
yourself	себя,сам
across	через,сквозь,поперёк
action	акции,акций,акция,акцию,акциями,акциям
available	доступен,доступно,доступна,доступный,годный,действительный
baby	бэби,грудник,грудника,грудникам,грудниками,грудниках
bring	донести,занести,вносить,довезти,заносить,довозить
chance	Случай,возможность,возможности,вероятность,возможностей,возможностью,возможностям
clear	звонка,выручить,выручать,выторговать,звонкий,выторговывать
college	Колледж,вуз,вузе,вуза,вузам,вузами,вузах
current	нынешний,Куран,общеупотребительный,отчётен,отчётна,отчётно,отчётный
education	Образование,воспитание,воспитания,воспитании,воспитанием,воспитанию,воспитаний
example	образец,образца,образцами,образце,образцах,образцам
experience	испытание,Опытное знание,испытанием,испробовать,испытании,изведать,изведывать
father	Отец,батька,бате,бати,батю,батей,батюшек
former	первый,бывший,прежний,предыдущий,былой,предшествующий
heard	Хёрд
himself	себя,сам
kids	ребята,ребят,малышня,малышне,малышни,малышню
list	ведомости,ведомость,ведомостей,ведомостью,ведомостям,ведомостями
london	лондон,лондоне,лондона,лондонский,лондону,лондоном
march	марта,вступить,март,мартам,мартами,мартах
meet	встретиться,встреча,встретить,встреч,встречам,видаться
month	месяц,месяца,месяце,месяцами,месяцам,месяцах
outside	вне,наружу,внешний,наружный,Outside,вовне,посторонне
process	процесс,процесса,обработать,обрабатывать,перерабатывать,процессам
program	программа,передача,программ,программами,программам,програмка
ready	готов,готова,бойко,бойка,бойкий,боек
self	сам,Самость
sometimes	иногда,порой,временами,часом,подчас
son	сын,сына,сыне,пасынок,сынишка,сынишек
song	Песня,пение,пения,пением,пении,пению,пений
street	улице,улица,улицах,улицам,улиц,улицами
study	готовиться,изучать,изучение,изучением,изучении,доучиваться
type	вид,литер,литера,литерам,литерами,литерах
word	Слово,глагол,глагола,глаголам,глаголами,глаголах,глаголе
words	текст,текста,тексте,текстах,текстами,текстам
beautiful	лучше,красиво,красивый,красива,красив,Beautiful,лепый
board	борт,дирекции,дирекция,дирекций,дирекцию,дирекциям
cost	расходы,обойтись,затраты,издержки,обходиться,себестоимостей
cut	врезать,врезаться,вруб,вруба,врубам,врубами
date	время,встреча,век,дата,дат,восходить
department	Департамент,ведомства,ведомстве,ведомств,ведомствам,ведомствами,ведомствах
dr	д-р,DR
energy	Энергия,дееспособности,дееспособностей,дееспособность,дееспособностью,дееспособностям,дееспособностями
fight	баталии,баталией,баталий,баталию,баталия,баталиям
fine	авантажен,авантажна,авантажно,авантажный,ведрен,ведренна,Фине
force	Сила,власть,войска,взломать,взламывать,выдавить,выдавливать
hear	слушать,прослушивать,заслушать,заслушивать,заслышать,прознать
issue	вопрос,вопроса,вопросам,вопросами,вопросе,вопросах
land	земле,землю,земли,земель,высадиться,высаживаться
main	главный,главнее,главна,главен,главно,магистралей
miss	Мисс,барышня,барышни,барышней,барышню,барышень,барышне
moment	Момент,мгновение,мгновения,мгновений,мгновением,мгновении,мгновению
mother	мама,Мать,мамаша,мамаш,мамашам,мамашами,мамашах
price	Цена,оценить,оценивать,расценка,расценкам,расценками,расценках
project	Проект,выступать,замысел,замысла,замыслах,замыслам,замыслами
re	ре,RE
rest	оставаться,остатка,опираться,остаткам,базироваться,выстаиваться
road	дороге,дорога,дорог,дорогах,дорогам,дорогами
running	бегах,бега,бег,бегов,бегам,бегами
sex	пол,пола,полов,Пол организмов,полами,полам,полах
shot	выстрел,выстрела,бросок,выплата,выстрелами,выстрелам
site	места,местах,мест,местам,местами,веб-сайт
space	Пространство,интервал,интервалами,интервала,интервалам,интервалах,интервале
strong	быстрый,Стронг,веский,веска,веско,весок,двужилен
summer	лет,Лето,лета,балка,брус,летам,летами
term	отношение,семестр,семестра,семестрам,семестрами,семестрах,Терм
thinking	мышление,мышлением,мыслящ,мысляща,мысляще,мыслящий
town	город,городе,города,городах,городам,городами
wants	требования,требование,требований,требованию,требованием,требовании
wife	Жена,баба,баб,бабах,бабе,бабами,бабам
above	выше,вверху,вышеуказан,вышеуказана,вышеуказанный,вышеуказано
account	Счёт,аккаунт,изложение,бухгалтерский,изложением,изложении,изложений
april	апреля,апреле,апрель,апрелем,апрелю
center	центр,центра,середина,опалубить,средина,центрам
club	Клуб,бить,дубина,дубин,дубинам,дубинами,дубинах
common	взаимный,выгон,выгона,выгонам,выгонами,выгонах
county	графства,Графство,графстве,графств,графствам,графствами,графствах
couple	двое,пара,парочка,парочек,парочкам,парочками
dead	абсолютно,дохлый,безжизненный,дохл,дохла,дохло
especially	особенно,специально,вдвойне,сугубо
eyes	отворачиваться
